species,island,bill_length_mm,bill_depth_mm,sex,year
Adelie,Torgersen,39.1,18.7,male,2007
Adelie,Torgersen,39.5,17.4,female,2007
Adelie,Torgersen,40.3,18,female,2007
Adelie,Torgersen,36.7,19.3,female,2007
Adelie,Torgersen,39.3,20.6,male,2007
Adelie,Torgersen,38.9,17.8,female,2007
Adelie,Torgersen,39.2,19.6,male,2007
Adelie,Torgersen,41.1,17.6,female,2007
Adelie,Torgersen,38.6,21.2,male,2007
Adelie,Torgersen,34.6,21.1,male,2007
Adelie,Torgersen,36.6,17.8,female,2007
Adelie,Torgersen,38.7,19,female,2007
Adelie,Torgersen,42.5,20.7,male,2007
Adelie,Torgersen,34.4,18.4,female,2007
Adelie,Torgersen,46,21.5,male,2007
Adelie,Biscoe,37.8,18.3,female,2007
Adelie,Biscoe,37.7,18.7,male,2007
Adelie,Biscoe,35.9,19.2,female,2007
Adelie,Biscoe,38.2,18.1,male,2007
Adelie,Biscoe,38.8,17.2,male,2007
Adelie,Biscoe,35.3,18.9,female,2007
Adelie,Biscoe,40.6,18.6,male,2007
Adelie,Biscoe,40.5,17.9,female,2007
Adelie,Biscoe,37.9,18.6,female,2007
Adelie,Biscoe,40.5,18.9,male,2007
Adelie,Dream,39.5,16.7,female,2007
Adelie,Dream,37.2,18.1,male,2007
Adelie,Dream,39.5,17.8,female,2007
Adelie,Dream,40.9,18.9,male,2007
Adelie,Dream,36.4,17,female,2007
Adelie,Dream,39.2,21.1,male,2007
Adelie,Dream,38.8,20,male,2007
Adelie,Dream,42.2,18.5,female,2007
Adelie,Dream,37.6,19.3,female,2007
Adelie,Dream,39.8,19.1,male,2007
Adelie,Dream,36.5,18,female,2007
Adelie,Dream,40.8,18.4,male,2007
Adelie,Dream,36,18.5,female,2007
Adelie,Dream,44.1,19.7,male,2007
Adelie,Dream,37,16.9,female,2007
Adelie,Dream,39.6,18.8,male,2007
Adelie,Dream,41.1,19,male,2007
Adelie,Dream,36,17.9,female,2007
Adelie,Dream,42.3,21.2,male,2007
Adelie,Biscoe,39.6,17.7,female,2008
Adelie,Biscoe,40.1,18.9,male,2008
Adelie,Biscoe,35,17.9,female,2008
Adelie,Biscoe,42,19.5,male,2008
Adelie,Biscoe,34.5,18.1,female,2008
Adelie,Biscoe,41.4,18.6,male,2008
Adelie,Biscoe,39,17.5,female,2008
Adelie,Biscoe,40.6,18.8,male,2008
Adelie,Biscoe,36.5,16.6,female,2008
Adelie,Biscoe,37.6,19.1,male,2008
Adelie,Biscoe,35.7,16.9,female,2008
Adelie,Biscoe,41.3,21.1,male,2008
Adelie,Biscoe,37.6,17,female,2008
Adelie,Biscoe,41.1,18.2,male,2008
Adelie,Biscoe,36.4,17.1,female,2008
Adelie,Biscoe,41.6,18,male,2008
Adelie,Biscoe,35.5,16.2,female,2008
Adelie,Biscoe,41.1,19.1,male,2008
Adelie,Torgersen,35.9,16.6,female,2008
Adelie,Torgersen,41.8,19.4,male,2008
Adelie,Torgersen,33.5,19,female,2008
Adelie,Torgersen,39.7,18.4,male,2008
Adelie,Torgersen,39.6,17.2,female,2008
Adelie,Torgersen,45.8,18.9,male,2008
Adelie,Torgersen,35.5,17.5,female,2008
Adelie,Torgersen,42.8,18.5,male,2008
Adelie,Torgersen,40.9,16.8,female,2008
Adelie,Torgersen,37.2,19.4,male,2008
Adelie,Torgersen,36.2,16.1,female,2008
Adelie,Torgersen,42.1,19.1,male,2008
Adelie,Torgersen,34.6,17.2,female,2008
Adelie,Torgersen,42.9,17.6,male,2008
Adelie,Torgersen,36.7,18.8,female,2008
Adelie,Torgersen,35.1,19.4,male,2008
Adelie,Dream,37.3,17.8,female,2008
Adelie,Dream,41.3,20.3,male,2008
Adelie,Dream,36.3,19.5,male,2008
Adelie,Dream,36.9,18.6,female,2008
Adelie,Dream,38.3,19.2,male,2008
Adelie,Dream,38.9,18.8,female,2008
Adelie,Dream,35.7,18,female,2008
Adelie,Dream,41.1,18.1,male,2008
Adelie,Dream,34,17.1,female,2008
Adelie,Dream,39.6,18.1,male,2008
Adelie,Dream,36.2,17.3,female,2008
Adelie,Dream,40.8,18.9,male,2008
Adelie,Dream,38.1,18.6,female,2008
Adelie,Dream,40.3,18.5,male,2008
Adelie,Dream,33.1,16.1,female,2008
Adelie,Dream,43.2,18.5,male,2008
Adelie,Biscoe,35,17.9,female,2009
Adelie,Biscoe,41,20,male,2009
Adelie,Biscoe,37.7,16,female,2009
Adelie,Biscoe,37.8,20,male,2009
Adelie,Biscoe,37.9,18.6,female,2009
Adelie,Biscoe,39.7,18.9,male,2009
Adelie,Biscoe,38.6,17.2,female,2009
Adelie,Biscoe,38.2,20,male,2009
Adelie,Biscoe,38.1,17,female,2009
Adelie,Biscoe,43.2,19,male,2009
Adelie,Biscoe,38.1,16.5,female,2009
Adelie,Biscoe,45.6,20.3,male,2009
Adelie,Biscoe,39.7,17.7,female,2009
Adelie,Biscoe,42.2,19.5,male,2009
Adelie,Biscoe,39.6,20.7,female,2009
Adelie,Biscoe,42.7,18.3,male,2009
Adelie,Torgersen,38.6,17,female,2009
Adelie,Torgersen,37.3,20.5,male,2009
Adelie,Torgersen,35.7,17,female,2009
Adelie,Torgersen,41.1,18.6,male,2009
Adelie,Torgersen,36.2,17.2,female,2009
Adelie,Torgersen,37.7,19.8,male,2009
Adelie,Torgersen,40.2,17,female,2009
Adelie,Torgersen,41.4,18.5,male,2009
Adelie,Torgersen,35.2,15.9,female,2009
Adelie,Torgersen,40.6,19,male,2009
Adelie,Torgersen,38.8,17.6,female,2009
Adelie,Torgersen,41.5,18.3,male,2009
Adelie,Torgersen,39,17.1,female,2009
Adelie,Torgersen,44.1,18,male,2009
Adelie,Torgersen,38.5,17.9,female,2009
Adelie,Torgersen,43.1,19.2,male,2009
Adelie,Dream,36.8,18.5,female,2009
Adelie,Dream,37.5,18.5,male,2009
Adelie,Dream,38.1,17.6,female,2009
Adelie,Dream,41.1,17.5,male,2009
Adelie,Dream,35.6,17.5,female,2009
Adelie,Dream,40.2,20.1,male,2009
Adelie,Dream,37,16.5,female,2009
Adelie,Dream,39.7,17.9,male,2009
Adelie,Dream,40.2,17.1,female,2009
Adelie,Dream,40.6,17.2,male,2009
Adelie,Dream,32.1,15.5,female,2009
Adelie,Dream,40.7,17,male,2009
Adelie,Dream,37.3,16.8,female,2009
Adelie,Dream,39,18.7,male,2009
Adelie,Dream,39.2,18.6,male,2009
Adelie,Dream,36.6,18.4,female,2009
Adelie,Dream,36,17.8,female,2009
Adelie,Dream,37.8,18.1,male,2009
Adelie,Dream,36,17.1,female,2009
Adelie,Dream,41.5,18.5,male,2009
Gentoo,Biscoe,46.1,13.2,female,2007
Gentoo,Biscoe,50,16.3,male,2007
Gentoo,Biscoe,48.7,14.1,female,2007
Gentoo,Biscoe,50,15.2,male,2007
Gentoo,Biscoe,47.6,14.5,male,2007
Gentoo,Biscoe,46.5,13.5,female,2007
Gentoo,Biscoe,45.4,14.6,female,2007
Gentoo,Biscoe,46.7,15.3,male,2007
Gentoo,Biscoe,43.3,13.4,female,2007
Gentoo,Biscoe,46.8,15.4,male,2007
Gentoo,Biscoe,40.9,13.7,female,2007
Gentoo,Biscoe,49,16.1,male,2007
Gentoo,Biscoe,45.5,13.7,female,2007
Gentoo,Biscoe,48.4,14.6,male,2007
Gentoo,Biscoe,45.8,14.6,female,2007
Gentoo,Biscoe,49.3,15.7,male,2007
Gentoo,Biscoe,42,13.5,female,2007
Gentoo,Biscoe,49.2,15.2,male,2007
Gentoo,Biscoe,46.2,14.5,female,2007
Gentoo,Biscoe,48.7,15.1,male,2007
Gentoo,Biscoe,50.2,14.3,male,2007
Gentoo,Biscoe,45.1,14.5,female,2007
Gentoo,Biscoe,46.5,14.5,female,2007
Gentoo,Biscoe,46.3,15.8,male,2007
Gentoo,Biscoe,42.9,13.1,female,2007
Gentoo,Biscoe,46.1,15.1,male,2007
Gentoo,Biscoe,47.8,15,male,2007
Gentoo,Biscoe,48.2,14.3,female,2007
Gentoo,Biscoe,50,15.3,male,2007
Gentoo,Biscoe,47.3,15.3,male,2007
Gentoo,Biscoe,42.8,14.2,female,2007
Gentoo,Biscoe,45.1,14.5,female,2007
Gentoo,Biscoe,59.6,17,male,2007
Gentoo,Biscoe,49.1,14.8,female,2008
Gentoo,Biscoe,48.4,16.3,male,2008
Gentoo,Biscoe,42.6,13.7,female,2008
Gentoo,Biscoe,44.4,17.3,male,2008
Gentoo,Biscoe,44,13.6,female,2008
Gentoo,Biscoe,48.7,15.7,male,2008
Gentoo,Biscoe,42.7,13.7,female,2008
Gentoo,Biscoe,49.6,16,male,2008
Gentoo,Biscoe,45.3,13.7,female,2008
Gentoo,Biscoe,49.6,15,male,2008
Gentoo,Biscoe,50.5,15.9,male,2008
Gentoo,Biscoe,43.6,13.9,female,2008
Gentoo,Biscoe,45.5,13.9,female,2008
Gentoo,Biscoe,50.5,15.9,male,2008
Gentoo,Biscoe,44.9,13.3,female,2008
Gentoo,Biscoe,45.2,15.8,male,2008
Gentoo,Biscoe,46.6,14.2,female,2008
Gentoo,Biscoe,48.5,14.1,male,2008
Gentoo,Biscoe,45.1,14.4,female,2008
Gentoo,Biscoe,50.1,15,male,2008
Gentoo,Biscoe,46.5,14.4,female,2008
Gentoo,Biscoe,45,15.4,male,2008
Gentoo,Biscoe,43.8,13.9,female,2008
Gentoo,Biscoe,45.5,15,male,2008
Gentoo,Biscoe,43.2,14.5,female,2008
Gentoo,Biscoe,50.4,15.3,male,2008
Gentoo,Biscoe,45.3,13.8,female,2008
Gentoo,Biscoe,46.2,14.9,male,2008
Gentoo,Biscoe,45.7,13.9,female,2008
Gentoo,Biscoe,54.3,15.7,male,2008
Gentoo,Biscoe,45.8,14.2,female,2008
Gentoo,Biscoe,49.8,16.8,male,2008
Gentoo,Biscoe,49.5,16.2,male,2008
Gentoo,Biscoe,43.5,14.2,female,2008
Gentoo,Biscoe,50.7,15,male,2008
Gentoo,Biscoe,47.7,15,female,2008
Gentoo,Biscoe,46.4,15.6,male,2008
Gentoo,Biscoe,48.2,15.6,male,2008
Gentoo,Biscoe,46.5,14.8,female,2008
Gentoo,Biscoe,46.4,15,female,2008
Gentoo,Biscoe,48.6,16,male,2008
Gentoo,Biscoe,47.5,14.2,female,2008
Gentoo,Biscoe,51.1,16.3,male,2008
Gentoo,Biscoe,45.2,13.8,female,2008
Gentoo,Biscoe,45.2,16.4,male,2008
Gentoo,Biscoe,49.1,14.5,female,2009
Gentoo,Biscoe,52.5,15.6,male,2009
Gentoo,Biscoe,47.4,14.6,female,2009
Gentoo,Biscoe,50,15.9,male,2009
Gentoo,Biscoe,44.9,13.8,female,2009
Gentoo,Biscoe,50.8,17.3,male,2009
Gentoo,Biscoe,43.4,14.4,female,2009
Gentoo,Biscoe,51.3,14.2,male,2009
Gentoo,Biscoe,47.5,14,female,2009
Gentoo,Biscoe,52.1,17,male,2009
Gentoo,Biscoe,47.5,15,female,2009
Gentoo,Biscoe,52.2,17.1,male,2009
Gentoo,Biscoe,45.5,14.5,female,2009
Gentoo,Biscoe,49.5,16.1,male,2009
Gentoo,Biscoe,44.5,14.7,female,2009
Gentoo,Biscoe,50.8,15.7,male,2009
Gentoo,Biscoe,49.4,15.8,male,2009
Gentoo,Biscoe,46.9,14.6,female,2009
Gentoo,Biscoe,48.4,14.4,female,2009
Gentoo,Biscoe,51.1,16.5,male,2009
Gentoo,Biscoe,48.5,15,female,2009
Gentoo,Biscoe,55.9,17,male,2009
Gentoo,Biscoe,47.2,15.5,female,2009
Gentoo,Biscoe,49.1,15,male,2009
Gentoo,Biscoe,46.8,16.1,male,2009
Gentoo,Biscoe,41.7,14.7,female,2009
Gentoo,Biscoe,53.4,15.8,male,2009
Gentoo,Biscoe,43.3,14,female,2009
Gentoo,Biscoe,48.1,15.1,male,2009
Gentoo,Biscoe,50.5,15.2,female,2009
Gentoo,Biscoe,49.8,15.9,male,2009
Gentoo,Biscoe,43.5,15.2,female,2009
Gentoo,Biscoe,51.5,16.3,male,2009
Gentoo,Biscoe,46.2,14.1,female,2009
Gentoo,Biscoe,55.1,16,male,2009
Gentoo,Biscoe,48.8,16.2,male,2009
Gentoo,Biscoe,47.2,13.7,female,2009
Gentoo,Biscoe,46.8,14.3,female,2009
Gentoo,Biscoe,50.4,15.7,male,2009
Gentoo,Biscoe,45.2,14.8,female,2009
Gentoo,Biscoe,49.9,16.1,male,2009
Chinstrap,Dream,46.5,17.9,female,2007
Chinstrap,Dream,50,19.5,male,2007
Chinstrap,Dream,51.3,19.2,male,2007
Chinstrap,Dream,45.4,18.7,female,2007
Chinstrap,Dream,52.7,19.8,male,2007
Chinstrap,Dream,45.2,17.8,female,2007
Chinstrap,Dream,46.1,18.2,female,2007
Chinstrap,Dream,51.3,18.2,male,2007
Chinstrap,Dream,46,18.9,female,2007
Chinstrap,Dream,51.3,19.9,male,2007
Chinstrap,Dream,46.6,17.8,female,2007
Chinstrap,Dream,51.7,20.3,male,2007
Chinstrap,Dream,47,17.3,female,2007
Chinstrap,Dream,52,18.1,male,2007
Chinstrap,Dream,45.9,17.1,female,2007
Chinstrap,Dream,50.5,19.6,male,2007
Chinstrap,Dream,50.3,20,male,2007
Chinstrap,Dream,58,17.8,female,2007
Chinstrap,Dream,46.4,18.6,female,2007
Chinstrap,Dream,49.2,18.2,male,2007
Chinstrap,Dream,42.4,17.3,female,2007
Chinstrap,Dream,48.5,17.5,male,2007
Chinstrap,Dream,43.2,16.6,female,2007
Chinstrap,Dream,50.6,19.4,male,2007
Chinstrap,Dream,46.7,17.9,female,2007
Chinstrap,Dream,52,19,male,2007
Chinstrap,Dream,50.5,18.4,female,2008
Chinstrap,Dream,49.5,19,male,2008
Chinstrap,Dream,46.4,17.8,female,2008
Chinstrap,Dream,52.8,20,male,2008
Chinstrap,Dream,40.9,16.6,female,2008
Chinstrap,Dream,54.2,20.8,male,2008
Chinstrap,Dream,42.5,16.7,female,2008
Chinstrap,Dream,51,18.8,male,2008
Chinstrap,Dream,49.7,18.6,male,2008
Chinstrap,Dream,47.5,16.8,female,2008
Chinstrap,Dream,47.6,18.3,female,2008
Chinstrap,Dream,52,20.7,male,2008
Chinstrap,Dream,46.9,16.6,female,2008
Chinstrap,Dream,53.5,19.9,male,2008
Chinstrap,Dream,49,19.5,male,2008
Chinstrap,Dream,46.2,17.5,female,2008
Chinstrap,Dream,50.9,19.1,male,2008
Chinstrap,Dream,45.5,17,female,2008
Chinstrap,Dream,50.9,17.9,female,2009
Chinstrap,Dream,50.8,18.5,male,2009
Chinstrap,Dream,50.1,17.9,female,2009
Chinstrap,Dream,49,19.6,male,2009
Chinstrap,Dream,51.5,18.7,male,2009
Chinstrap,Dream,49.8,17.3,female,2009
Chinstrap,Dream,48.1,16.4,female,2009
Chinstrap,Dream,51.4,19,male,2009
Chinstrap,Dream,45.7,17.3,female,2009
Chinstrap,Dream,50.7,19.7,male,2009
Chinstrap,Dream,42.5,17.3,female,2009
Chinstrap,Dream,52.2,18.8,male,2009
Chinstrap,Dream,45.2,16.6,female,2009
Chinstrap,Dream,49.3,19.9,male,2009
Chinstrap,Dream,50.2,18.8,male,2009
Chinstrap,Dream,45.6,19.4,female,2009
Chinstrap,Dream,51.9,19.5,male,2009
Chinstrap,Dream,46.8,16.5,female,2009
Chinstrap,Dream,45.7,17,female,2009
Chinstrap,Dream,55.8,19.8,male,2009
Chinstrap,Dream,43.5,18.1,female,2009
Chinstrap,Dream,49.6,18.2,male,2009
Chinstrap,Dream,50.8,19,male,2009
Chinstrap,Dream,50.2,18.7,female,2009
